day,precip_in,max_temp_anom,min_temp_anom,month,year,ONI,time,pc1,pc2
1998-02-01,13.52,-2.7857142857142856,1.4464285714285714,2,1998,1.93,1998-02-01,-1.0646279,1.7129145
1993-01-01,11.07,-1.080645161290323,-1.2354838709677423,1,1993,0.09,1993-01-01,1.0278351,2.0098896
2014-12-01,10.47,4.983870967741935,7.341935483870968,12,2014,0.66,2014-12-01,-0.61397725,0.5574089
2008-01-01,9.87,-3.26967741935484,-0.5206451612903223,1,2008,-1.64,2008-01-01,1.0697745,0.06497746
2002-12-01,9.370000000000001,1.1774193548387097,3.019354838709677,12,2002,1.14,2002-12-01,-0.4766512,-0.15555216
2017-01-01,9.19,0.14516129032258018,-0.49354838709677457,1,2017,-0.34,2017-01-01,0.17363676,-0.09231668
1982-01-01,8.8,-5.145161290322581,-5.235483870967743,1,1982,-0.05,1982-01-01,0.9884939,-0.53764904
1995-01-01,8.76,-0.2419354838709682,4.216129032258064,1,1995,0.96,1995-01-01,-0.9441716,0.103202194
1995-03-01,8.629999999999999,-2.070967741935484,-0.025806451612903136,3,1995,0.53,1995-03-01,-0.37255487,0.17883283
2001-12-01,8.27,-0.5645161290322581,2.664516129032258,12,2001,-0.31,2001-12-01,-0.6877996,-0.92607933
1983-03-01,8.26,-3.103225806451613,1.4903225806451614,3,1983,1.54,1983-03-01,-1.6525968,0.84641045
2005-12-01,8.17,2.435483870967742,3.2774193548387096,12,2005,-0.84,2005-12-01,-1.5327699,-0.48561004
2000-02-01,8.15,-1.724137931034483,2.4586206896551723,2,2000,-1.41,2000-02-01,-0.43810135,1.4385587
1986-02-01,7.87,2.642857142857143,4.339285714285714,2,1986,-0.47,1986-02-01,-1.0610392,-0.9724717
1998-01-01,7.77,0.983870967741935,4.312903225806451,1,1998,2.24,1998-01-01,-0.89436,-0.61141276
1982-03-01,7.49,-5.16774193548387,-2.2516129032258063,3,1982,0.19,1982-03-01,1.3215449,0.39525616
1997-01-01,7.3500000000000005,-1.1774193548387102,2.1193548387096772,1,1997,-0.5,1997-01-01,-0.26693377,0.5623066
2017-02-01,7.24,0.2857142857142855,2.875,2,2017,-0.16,2017-02-01,0.41177526,0.054665625
2019-02-01,7.2,-3.607142857142857,-2.232142857142857,2,2019,0.72,2019-02-01,1.8465531,-0.058902606
1996-01-01,6.84,0.7580645161290318,2.3774193548387093,1,1996,-0.9,1996-01-01,0.8590435,-1.0987487
1983-01-01,6.75,-2.758064516129033,-1.3322580645161295,1,1983,2.18,1983-01-01,-0.899143,1.6987736
1983-02-01,6.55,-1.1785714285714288,1.9821428571428572,2,1983,1.92,1983-02-01,-1.9382956,0.06448033
1996-12-01,6.49,2.274193548387097,4.696774193548387,12,1996,-0.49,1996-12-01,0.18129505,-1.2709168
1995-12-01,6.2700000000000005,1.9838709677419355,4.212903225806452,12,1995,-0.98,1995-12-01,-0.8575793,-0.023446703
2004-12-01,6.260000000000001,1.403225806451613,1.6967741935483869,12,2004,0.69,2004-12-01,0.4419714,1.0896034
2009-02-01,6.24,-1.392857142857143,-0.26785714285714285,2,2009,-0.79,2009-02-01,1.2377108,-1.3284427
2012-12-01,6.23,0.6935483870967742,1.793548387096774,12,2012,-0.21,2012-12-01,0.23808196,-1.3654096
1992-02-01,6.22,3.103448275862069,2.9413793103448276,2,1992,1.63,1992-02-01,0.19323954,1.1316901
2003-12-01,6.09,0.3064516129032258,2.2774193548387096,12,2003,0.35,2003-12-01,-0.42007172,0.43667063
1983-12-01,6.029999999999999,0.6612903225806451,4.95483870967742,12,1983,-0.91,1983-12-01,0.15826684,0.6453595
2001-02-01,5.9799999999999995,-3.0714285714285716,-1.2678571428571428,2,2001,-0.52,2001-02-01,0.61126286,-0.08079672
1991-03-01,5.96,-4.361290322580645,-1.1225806451612903,3,1991,0.22,1991-03-01,1.0889854,-0.47896323
2010-01-01,5.9399999999999995,-0.6612903225806456,2.6354838709677417,1,2010,1.5,2010-01-01,-1.1249043,-1.6556563
1992-12-01,5.92,-1.403225806451613,-0.5290322580645163,12,1992,-0.13,1992-12-01,1.2781941,0.7390689
1986-03-01,5.83,1.6709677419354838,2.52258064516129,3,1986,-0.31,1986-03-01,0.2850321,1.6302998
