label,lat,lon
"Orin, WY",42.6533015,-105.1924778
"Buffalo Gap, SD",43.49165,-103.312975
"Rapid City, SD",44.081176,-103.228006
"Sturgis, SD",44.409707,-103.509079
"Broadus, MT",45.443881,-105.40749
"Miles City, MT",46.4085273,-105.840981
"Roundup, MT",46.445242,-108.5417999
"(49, -108.5)",49,-108.5
"(49, -96.8)",49,-96.8
"Thief River Falls, MN",48.1172301,-96.1770667
"Fergus Falls, MN",46.283015,-96.077558
"Minneapolis, MN",44.9772995,-93.2654692
"Rochester, MN",44.0233269,-92.4630215
"Iowa City, IA",41.6612561,-91.5299106
"Unionville, MO",40.4769606,-93.0032615
"Sedalia, MO",38.7044609,-93.2282613
"Nevada, MO",37.8389595,-94.3549187
"Springfield, MO",37.2166779,-93.2920373
"Tulsa, OK",36.1556805,-95.9929113
"Stroud, OK",35.773536,-96.6629379824073
"Durant, OK",33.9939861,-96.370824
"Paris, TX",33.6617962,-95.555513
"Athens, TX",32.2048735,-95.8555207
"Waco, TX",31.549333,-97.1466695
"San Angelo, TX",31.4648357,-100.4398442
"Monahans, TX",31.5942992,-102.8926536
"Carlsbad, NM",32.4207262,-104.2287757
"Roswell, NM",33.3943282,-104.5229518
"Santa Rosa, NM",34.93867,-104.6824893
"Des Moines, NM",36.7633643,-103.8331418
"Pueblo, CO",38.2544472,-104.609141
"Denver, CO",39.7391536,-104.9847034
