label,lat,lon
"Ogallala, NE",41.1282,-101.7204
"Omaha, NE",41.2565,-95.9345
"Creston, IA",41.0586,-94.3613
"Kansas City, MO",39.0997,-94.5786
"Joplin, MO",37.0842,-94.5133
"Tulsa, OK",36.1556805,-95.9929113
"Stroud, OK",35.773536,-96.66293798
"Durant, OK",33.9939861,-96.370824
"Paris, TX",33.6617962,-95.555513
"Athens, TX",32.2048735,-95.8555207
"Waco, TX",31.549333,-97.1466695
"San Angelo, TX",31.4648357,-100.4398442
"Monahans, TX",31.5942992,-102.8926536
"Bovina, TX",34.5137,-102.883
"Dalhart, TX",36.0595,-102.5132
"Elkhart, KS",37.0081,-101.8902
"Goodland, KS",39.3508,-101.7102
